code,name,description
DRAFT,Черновик,Запись создана но ещё не готова к использованию
REVIEW,На проверке,Информация требует проверки ответственным сотрудником
VERIFIED,Проверено,Информация проверена и может использоваться
CHECK,Нужно проверить,Данные могут быть устаревшими или неполными
OUTDATED,Устарело,Информация больше не актуальна
BROKEN,Не работает,Телефон ссылка или процесс не работает
NOT_RECOMMENDED,Не рекомендовать,Контакт или партнёр не рекомендован к использованию
PRIVATE,Внутреннее,Запись содержит внутреннюю информацию и не должна публиковаться
