code,name,description
ADMIN,Администратор базы,Отвечает за структуру качество и порядок
SECTION_OWNER,Ответственный за раздел,Проверяет свой раздел и предложения сотрудников
LAWYER,Юрист,Проверяет юридически значимые записи
MORTGAGE_BROKER,Ипотечный брокер,Проверяет банковский и ипотечный блок
MANAGER,Менеджер,Определяет приоритеты и контролирует внедрение
SPECIALIST,Специалист,Пользуется базой и предлагает улучшения
TRAINEE,Стажёр,Использует базу для обучения
VIEWER,Просмотр,Может читать без изменения данных
